datetime,temp,atemp,humidity,windspeed,count
2011-01-01 0:00:00,9.84,14.395,81.0,0.0,16
2011-01-01 1:00:00,9.02,13.635,80.0,0.0,40
2011-01-01 2:00:00,9.02,13.635,80.0,0.0,32
2011-01-01 3:00:00,9.84,14.395,75.0,0.0,13
2011-01-01 4:00:00,9.84,14.395,75.0,0.0,1
2011-01-01 5:00:00,9.84,12.88,75.0,6.0032,1
2011-01-01 6:00:00,9.02,13.635,80.0,0.0,2
2011-01-01 7:00:00,8.200000000000001,12.88,86.0,0.0,3
2011-01-01 8:00:00,9.84,14.395,75.0,0.0,8
2011-01-01 9:00:00,13.12,17.424999999999997,76.0,0.0,14
2011-01-01 10:00:00,15.58,19.695,76.0,16.997899999999998,36
2011-01-01 11:00:00,14.76,16.665,81.0,19.0012,56
2011-01-01 12:00:00,17.22,21.21,77.0,19.0012,84
2011-01-01 13:00:00,18.86,22.725,72.0,19.9995,94
2011-01-01 14:00:00,18.86,22.725,72.0,19.0012,106
2011-01-01 15:00:00,18.04,21.97,77.0,19.9995,110
2011-01-01 16:00:00,17.22,21.21,82.0,19.9995,93
2011-01-01 17:00:00,18.04,21.97,82.0,19.0012,67
2011-01-01 18:00:00,17.22,21.21,88.0,16.997899999999998,35
2011-01-01 19:00:00,17.22,21.21,88.0,16.997899999999998,37
2011-01-01 20:00:00,16.400000000000002,20.455,87.0,16.997899999999998,36
2011-01-01 21:00:00,16.400000000000002,20.455,87.0,12.998,34
2011-01-01 22:00:00,16.400000000000002,20.455,94.0,15.0013,28
2011-01-01 23:00:00,18.86,22.725,88.0,19.9995,39
2011-01-02 0:00:00,18.86,22.725,88.0,19.9995,17
2011-01-02 1:00:00,18.04,21.97,94.0,16.997899999999998,17
2011-01-02 2:00:00,17.22,21.21,100.0,19.0012,9
2011-01-02 3:00:00,18.86,22.725,94.0,12.998,6
2011-01-02 4:00:00,18.86,22.725,94.0,12.998,3
2011-01-02 6:00:00,17.22,21.21,77.0,19.9995,2
2011-01-02 7:00:00,16.400000000000002,20.455,76.0,12.998,1
2011-01-02 8:00:00,16.400000000000002,20.455,71.0,15.0013,8
2011-01-02 9:00:00,15.58,19.695,76.0,15.0013,20
2011-01-02 10:00:00,14.76,17.424999999999997,81.0,15.0013,53
2011-01-02 11:00:00,14.76,16.665,71.0,16.997899999999998,70
2011-01-02 12:00:00,14.76,16.665,66.0,19.9995,93
2011-01-02 13:00:00,14.76,17.424999999999997,66.0,8.9981,75
2011-01-02 14:00:00,14.76,17.424999999999997,76.0,12.998,59
2011-01-02 15:00:00,13.94,16.665,81.0,11.0014,74
2011-01-02 16:00:00,13.94,16.665,71.0,11.0014,76
2011-01-02 17:00:00,13.94,16.665,56.99999999999999,12.998,65
2011-01-02 18:00:00,14.76,16.665,46.0,22.0028,53
2011-01-02 19:00:00,13.12,14.395,42.0,30.0026,30
2011-01-02 20:00:00,12.3,13.635,39.0,23.9994,22
2011-01-02 21:00:00,10.66,11.365,44.0,22.0028,31
2011-01-02 22:00:00,9.84,10.605,44.0,19.9995,9
2011-01-02 23:00:00,9.02,11.365,47.0,11.0014,8
2011-01-03 0:00:00,9.02,9.85,44.0,23.9994,5
2011-01-03 1:00:00,8.200000000000001,8.334999999999999,44.0,27.9993,2
2011-01-03 4:00:00,6.5600000000000005,6.819999999999999,47.0,26.0027,1
2011-01-03 5:00:00,6.5600000000000005,6.819999999999999,47.0,19.0012,3
2011-01-03 6:00:00,5.74,5.305,50.0,26.0027,30
2011-01-03 7:00:00,5.74,6.819999999999999,50.0,12.998,64
2011-01-03 8:00:00,5.74,6.0600000000000005,50.0,19.0012,154
2011-01-03 9:00:00,6.5600000000000005,6.819999999999999,43.0,26.0027,88
2011-01-03 10:00:00,7.38,8.334999999999999,43.0,16.997899999999998,44
2011-01-03 11:00:00,8.200000000000001,9.09,40.0,22.0028,51
2011-01-03 12:00:00,9.02,10.605,35.0,19.9995,61
2011-01-03 13:00:00,9.84,10.605,35.0,19.0012,61
2011-01-03 14:00:00,10.66,12.12,30.0,19.0012,77
2011-01-03 15:00:00,10.66,12.12,30.0,16.997899999999998,72
2011-01-03 16:00:00,10.66,12.12,30.0,16.997899999999998,76
2011-01-03 17:00:00,9.84,11.365,30.0,15.0013,157
2011-01-03 18:00:00,9.84,12.88,32.0,7.0015,157
2011-01-03 19:00:00,8.200000000000001,12.88,47.0,0.0,110
2011-01-03 20:00:00,8.200000000000001,11.365,47.0,7.0015,52
2011-01-03 21:00:00,7.38,9.85,64.0,8.9981,52
2011-01-03 22:00:00,5.74,7.575,69.0,8.9981,20
2011-01-03 23:00:00,7.38,10.605,55.00000000000001,7.0015,12
2011-01-04 0:00:00,6.5600000000000005,9.09,55.00000000000001,7.0015,5
2011-01-04 1:00:00,6.5600000000000005,9.09,59.0,7.0015,2
2011-01-04 2:00:00,5.74,7.575,63.0,8.9981,1
2011-01-04 4:00:00,5.74,9.09,63.0,6.0032,2
2011-01-04 5:00:00,4.92,7.575,68.0,7.0015,4
2011-01-04 6:00:00,4.92,7.575,74.0,7.0015,36
2011-01-04 7:00:00,4.92,7.575,74.0,8.9981,94
2011-01-04 8:00:00,5.74,7.575,69.0,11.0014,179
2011-01-04 9:00:00,6.5600000000000005,7.575,64.0,15.0013,100
2011-01-04 10:00:00,6.5600000000000005,6.819999999999999,69.0,22.0028,42
2011-01-04 11:00:00,9.02,10.605,51.0,19.9995,57
2011-01-04 12:00:00,9.02,11.365,51.0,11.0014,78
2011-01-04 13:00:00,9.84,11.365,56.00000000000001,12.998,97
2011-01-04 14:00:00,10.66,12.88,52.0,15.0013,63
2011-01-04 15:00:00,11.48,13.635,52.0,16.997899999999998,65
2011-01-04 16:00:00,12.3,14.395,49.0,16.997899999999998,83
2011-01-04 17:00:00,11.48,13.635,48.0,15.0013,212
2011-01-04 18:00:00,10.66,12.88,48.0,12.998,182
2011-01-04 19:00:00,9.84,12.88,48.0,7.0015,112
2011-01-04 20:00:00,9.84,12.88,48.0,7.0015,54
2011-01-04 21:00:00,9.02,13.635,64.0,0.0,48
2011-01-04 22:00:00,9.02,12.88,64.0,6.0032,35
2011-01-04 23:00:00,8.200000000000001,11.365,69.0,6.0032,11
2011-01-05 0:00:00,8.200000000000001,12.88,64.0,0.0,6
2011-01-05 1:00:00,6.5600000000000005,9.85,74.0,6.0032,6
2011-01-05 2:00:00,6.5600000000000005,9.85,74.0,6.0032,2
2011-01-05 4:00:00,9.84,11.365,48.0,15.0013,2
2011-01-05 5:00:00,9.02,11.365,47.0,11.0014,3
2011-01-05 6:00:00,8.200000000000001,9.85,47.0,15.0013,33
2011-01-05 7:00:00,7.38,9.09,43.0,12.998,88
2011-01-05 8:00:00,8.200000000000001,9.09,40.0,19.9995,195
2011-01-05 9:00:00,9.02,9.85,37.0,22.0028,115
2011-01-05 10:00:00,9.02,9.85,37.0,22.0028,57
2011-01-05 11:00:00,10.66,11.365,33.0,22.0028,46
2011-01-05 12:00:00,10.66,11.365,33.0,22.0028,79
2011-01-05 13:00:00,11.48,12.88,30.0,19.9995,71
2011-01-05 14:00:00,12.3,14.395,28.000000000000004,12.998,62
2011-01-05 15:00:00,12.3,14.395,28.000000000000004,12.998,62
2011-01-05 16:00:00,12.3,15.909999999999998,28.000000000000004,6.0032,89
2011-01-05 17:00:00,9.84,11.365,38.0,12.998,190
2011-01-05 18:00:00,9.84,12.12,38.0,8.9981,169
2011-01-05 19:00:00,9.84,12.88,38.0,7.0015,132
2011-01-05 20:00:00,9.02,11.365,47.0,11.0014,89
2011-01-05 21:00:00,8.200000000000001,9.85,51.0,12.998,43
2011-01-05 22:00:00,7.38,9.85,55.00000000000001,8.9981,42
2011-01-05 23:00:00,8.200000000000001,12.88,47.0,0.0,19
2011-01-06 0:00:00,7.38,12.12,55.00000000000001,0.0,11
2011-01-06 1:00:00,6.5600000000000005,11.365,64.0,0.0,4
2011-01-06 2:00:00,6.5600000000000005,11.365,64.0,0.0,2
2011-01-06 4:00:00,6.5600000000000005,9.85,64.0,6.0032,1
2011-01-06 5:00:00,5.74,9.09,69.0,6.0032,4
2011-01-06 6:00:00,5.74,8.334999999999999,63.0,7.0015,36
2011-01-06 7:00:00,6.5600000000000005,11.365,59.0,0.0,95
2011-01-06 8:00:00,6.5600000000000005,11.365,59.0,0.0,219
2011-01-06 9:00:00,7.38,12.12,51.0,0.0,122
2011-01-06 10:00:00,8.200000000000001,12.88,47.0,0.0,45
2011-01-06 11:00:00,9.02,12.88,44.0,6.0032,59
2011-01-06 12:00:00,10.66,14.395,35.0,0.0,84
2011-01-06 13:00:00,10.66,13.635,35.0,7.0015,67
2011-01-06 14:00:00,11.48,13.635,36.0,11.0014,70
2011-01-06 15:00:00,11.48,13.635,36.0,0.0,62
2011-01-06 16:00:00,10.66,12.88,38.0,11.0014,86
2011-01-06 17:00:00,9.02,11.365,51.0,11.0014,172
2011-01-06 18:00:00,9.02,11.365,51.0,8.9981,163
2011-01-06 19:00:00,9.02,12.88,55.00000000000001,6.0032,112
2011-01-06 20:00:00,8.200000000000001,10.605,51.0,11.0014,69
2011-01-06 21:00:00,9.02,10.605,55.00000000000001,15.0013,48
2011-01-06 22:00:00,9.02,10.605,51.0,19.0012,52
2011-01-06 23:00:00,8.200000000000001,9.85,59.0,12.998,23
2011-01-07 0:00:00,8.200000000000001,9.85,64.0,12.998,17
2011-01-07 1:00:00,8.200000000000001,9.85,69.0,15.0013,7
2011-01-07 2:00:00,8.200000000000001,9.85,69.0,15.0013,1
2011-01-07 4:00:00,8.200000000000001,10.605,69.0,8.9981,1
2011-01-07 5:00:00,9.02,13.635,55.00000000000001,0.0,5
2011-01-07 6:00:00,8.200000000000001,12.88,69.0,0.0,34
2011-01-07 7:00:00,8.200000000000001,10.605,69.0,8.9981,84
2011-01-07 8:00:00,8.200000000000001,9.85,51.0,16.997899999999998,210
2011-01-07 9:00:00,8.200000000000001,9.09,47.0,19.9995,134
2011-01-07 10:00:00,9.02,9.85,37.0,22.0028,63
2011-01-07 11:00:00,8.200000000000001,9.85,40.0,15.0013,67
2011-01-07 12:00:00,8.200000000000001,9.85,37.0,16.997899999999998,59
2011-01-07 13:00:00,8.200000000000001,9.09,37.0,19.0012,73
2011-01-07 14:00:00,8.200000000000001,9.85,40.0,16.997899999999998,50
2011-01-07 15:00:00,8.200000000000001,10.605,37.0,11.0014,72
2011-01-07 16:00:00,8.200000000000001,10.605,37.0,11.0014,87
2011-01-07 17:00:00,8.200000000000001,12.88,37.0,0.0,187
2011-01-07 18:00:00,8.200000000000001,11.365,40.0,6.0032,123
2011-01-07 19:00:00,6.5600000000000005,9.85,55.00000000000001,6.0032,95
2011-01-07 20:00:00,7.38,10.605,47.0,7.0015,51
2011-01-07 21:00:00,7.38,9.85,47.0,8.9981,39
2011-01-07 22:00:00,7.38,9.85,43.0,11.0014,36
2011-01-07 23:00:00,7.38,9.85,51.0,11.0014,15
2011-01-08 0:00:00,7.38,9.85,51.0,11.0014,25
2011-01-08 1:00:00,7.38,10.605,55.00000000000001,6.0032,16
2011-01-08 2:00:00,7.38,12.12,55.00000000000001,0.0,16
2011-01-08 3:00:00,7.38,9.85,55.00000000000001,11.0014,7
2011-01-08 4:00:00,7.38,9.85,55.00000000000001,11.0014,1
2011-01-08 5:00:00,6.5600000000000005,8.334999999999999,74.0,11.0014,5
2011-01-08 6:00:00,6.5600000000000005,8.334999999999999,74.0,11.0014,2
2011-01-08 7:00:00,6.5600000000000005,9.09,74.0,7.0015,9
2011-01-08 8:00:00,6.5600000000000005,9.09,93.0,7.0015,15
2011-01-08 9:00:00,6.5600000000000005,9.09,93.0,7.0015,20
2011-01-08 10:00:00,7.38,9.85,80.0,11.0014,61
2011-01-08 11:00:00,8.200000000000001,9.09,69.0,26.0027,62
2011-01-08 12:00:00,8.200000000000001,9.09,59.0,23.9994,98
2011-01-08 13:00:00,8.200000000000001,9.09,44.0,22.0028,102
2011-01-08 14:00:00,8.200000000000001,8.334999999999999,32.0,32.9975,95
2011-01-08 15:00:00,8.200000000000001,8.334999999999999,32.0,30.0026,74
2011-01-08 16:00:00,7.38,6.819999999999999,29.0,30.0026,76
2011-01-08 17:00:00,6.5600000000000005,6.0600000000000005,37.0,36.9974,69
2011-01-08 18:00:00,5.74,6.0600000000000005,39.0,19.9995,55
2011-01-08 19:00:00,5.74,6.0600000000000005,36.0,16.997899999999998,30
2011-01-08 20:00:00,4.92,6.0600000000000005,36.0,16.997899999999998,28
2011-01-08 21:00:00,4.92,5.305,39.0,23.9994,37
2011-01-08 22:00:00,4.92,5.305,36.0,26.0027,34
2011-01-08 23:00:00,4.1000000000000005,3.03,39.0,30.0026,22
2011-01-09 0:00:00,4.1000000000000005,3.790000000000001,42.0,26.0027,25
2011-01-09 1:00:00,4.1000000000000005,3.03,42.0,31.0009,12
2011-01-09 2:00:00,4.1000000000000005,3.03,46.0,31.0009,11
2011-01-09 3:00:00,4.1000000000000005,3.790000000000001,46.0,27.9993,4
2011-01-09 4:00:00,3.28,4.545,53.0,12.998,1
2011-01-09 5:00:00,3.28,4.545,53.0,12.998,1
2011-01-09 6:00:00,4.1000000000000005,4.545,49.0,19.0012,1
2011-01-09 7:00:00,3.28,4.545,53.0,12.998,6
2011-01-09 8:00:00,4.1000000000000005,4.545,49.0,19.0012,10
2011-01-09 9:00:00,4.92,3.790000000000001,46.0,35.0008,19
2011-01-09 10:00:00,5.74,5.305,43.0,26.0027,49
2011-01-09 11:00:00,6.5600000000000005,6.0600000000000005,40.0,35.0008,49
2011-01-09 12:00:00,7.38,6.819999999999999,37.0,30.0026,83
2011-01-09 13:00:00,8.200000000000001,8.334999999999999,34.0,30.0026,75
2011-01-09 14:00:00,9.02,9.09,32.0,31.0009,72
2011-01-09 15:00:00,9.02,9.85,35.0,23.9994,82
